Category,Day,Amount,Date,Month
Account Charges,10,,10/01/2023,JAN
Account Charges,11,,11/01/2023,JAN
Account Charges,12,,12/01/2023,JAN
Account Charges,13,,13/01/2023,JAN
Account Charges,14,,14/01/2023,JAN
Account Charges,15,,15/01/2023,JAN
Account Charges,16,,16/01/2023,JAN
Account Charges,17,,17/01/2023,JAN
Account Charges,18,,18/01/2023,JAN
Account Charges,19,,19/01/2023,JAN
Account Charges,20,,20/01/2023,JAN
Account Charges,21,10,21/01/2023,JAN
Account Charges,22,,22/01/2023,JAN
Account Charges,23,,23/01/2023,JAN
Account Charges,24,,24/01/2023,JAN
Account Charges,25,,25/01/2023,JAN
Account Charges,26,,26/01/2023,JAN
Account Charges,27,,27/01/2023,JAN
Account Charges,28,,28/01/2023,JAN
Account Charges,29,,29/01/2023,JAN
Account Charges,30,,30/01/2023,JAN
Account Charges,31,,31/01/2023,JAN
Rent,1,,01/02/2023,FEB
Rent,2,,02/02/2023,FEB
Rent,3,,03/02/2023,FEB
Rent,4,,04/02/2023,FEB
Rent,5,,05/02/2023,FEB
Rent,6,,06/02/2023,FEB
Rent,7,,07/02/2023,FEB
Rent,8,,08/02/2023,FEB
Rent,9,,09/02/2023,FEB
Rent,10,,10/02/2023,FEB
Rent,11,,11/02/2023,FEB
Rent,12,,12/02/2023,FEB
Rent,13,,13/02/2023,FEB
Rent,14,,14/02/2023,FEB
Rent,15,,15/02/2023,FEB
Rent,16,,16/02/2023,FEB
Rent,17,,17/02/2023,FEB
Rent,18,,18/02/2023,FEB
Rent,19,,19/02/2023,FEB
Rent,20,,20/02/2023,FEB
Rent,21,,21/02/2023,FEB
Rent,22,,22/02/2023,FEB
Rent,23,,23/02/2023,FEB
Rent,24,,24/02/2023,FEB
Rent,25,,25/02/2023,FEB
Rent,26,,26/02/2023,FEB
Rent,27,,27/02/2023,FEB
Rent,28,,28/02/2023,FEB
Data,1,300,01/02/2023,FEB
Data,2,,02/02/2023,FEB
Data,3,,03/02/2023,FEB
Data,4,,04/02/2023,FEB
Data,5,,05/02/2023,FEB
Data,6,,06/02/2023,FEB
Data,7,,07/02/2023,FEB
Data,8,,08/02/2023,FEB
Data,9,,09/02/2023,FEB
Data,10,,10/02/2023,FEB
Data,11,,11/02/2023,FEB
Data,12,,12/02/2023,FEB
Data,13,,13/02/2023,FEB
Data,14,,14/02/2023,FEB
Data,15,,15/02/2023,FEB
Data,16,,16/02/2023,FEB
Data,17,,17/02/2023,FEB
Data,18,,18/02/2023,FEB
Data,19,,19/02/2023,FEB
Data,20,,20/02/2023,FEB
Data,21,,21/02/2023,FEB
Data,22,,22/02/2023,FEB
Data,23,,23/02/2023,FEB
Data,24,,24/02/2023,FEB
Data,25,,25/02/2023,FEB
Data,26,,26/02/2023,FEB
